Time,Power,Voltage,Amps
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,-0.603355,-31.6395,0.0037696
0.21,-0.595822,96.8875,0.00355741
0.35,414.177,-555.266,0.299587
0.37,-529.678,859.307,-0.976857
0.39,-81.3177,359.248,0.753854
0.41,157.291,102.771,1.06077
0.42,181.352,-110.518,-0.824494
0.44,181.79,164.956,0.22401
0.46,221.662,-12.7238,-0.362873
0.49,203.616,-87.1103,0.622761
0.51,208.366,-158.182,-1.17132
0.57,292.814,443.834,0.182277
0.58,319.774,-323.512,-0.552214
0.59,351.081,356.557,0.701391
0.6,370.637,-58.4534,-0.0797194
0.61,339.133,-317.359,-0.349609
0.62,318.042,537.057,0.435572
0.63,304.277,-444.218,-0.390591
0.64,295.075,362.892,0.317677
0.65,288.846,-17.2435,-0.0618287
0.69,276.531,256.396,0.224313
0.7,275.438,76.532,0.013734
0.71,274.642,-186.958,-0.464171
0.71,274.642,-186.958,-0.464171
0.72,273.222,224.632,0.645872
0.73,271.715,-292.255,-0.364125
0.74,270.219,-8.7312,0.0742954
0.75,267.864,-14.1271,0.171942
0.76,265.756,-271.873,-0.479045
0.83,88.1977,-44.1508,-1.26082
0.86,125.028,-385.209,-0.606233
0.87,143.616,54.3966,0.706708
0.88,110.884,-118.648,-0.348879
0.89,88.4993,80.6434,0.203255
0.89,88.4993,80.6434,0.203255
0.9,73.3512,123.12,-0.11147
0.91,62.8272,-167.619,-0.262581
0.92,52.0935,180.33,0.650982
